document,sentence,label
E9V 984,"Charles  V,  showing  that  good  judgement  of  men  which  was  to  stand  him  in  good  stead  throughout  his  reign,  chose  Bertrand  du  Guesclin  to  command  his  forces,  and  du  Guesclin  defeated  Navarre  at  the  battle  of  Cocherel  in  May  1364.",I
K5H 960,"‘ As  we  had  maintained  our  large  weighting  in  overseas  equities  and  cash  throughout  the  period  of  UK  membership  of  the  ERM,  this  cautious  perception  of  the  political  and  economic  risks  being  run  has  stood  us  in  good  stead . ’",I
J0W 1810,The  experience  in  Gentle  Jack  and  the  speech  that  caused  all  the  problems  in  that  play  stood  him  in  good  stead.,I
CBT 743,The  grounding  Mr  Morrison  received  at  James  Dowling's  feet  stood  him  in  good  stead.,I
H0A 100,"During  this  period  of  voluntary  ostracism  from  social  contact  with  those  around  him,  Mr  Thesiger's  fondness  for  out-of-doors  sports  and  predilection  for  the  simple  life  stood  him  in  good  stead.",I
ECM 408,"They  stood  her  in  good  stead  when  her  father  enrolled  her  at  her  next  school,  Riddlesworth  Hall,  two  hours'  drive  from  Park  House.",I
CK2 565,That  nose  has  stood  their  descendants  in  very  good  stead  right   this  day.,I
ASA 430,As  I  developed  I  became  a  big  bloke  and  that  stood  me  in  good  stead.,I
CM4 1130,"And  so,  resentfully,  he  learned  concepts  that  could  stand  him  in  good  stead.",I
HCT 73,It  is  evident  that  the  expertise  and  contacts  Grampian  companies  have  developed  through  supplying  the  North  Sea  oil  industry  stands  them  in  good  stead  to  take  advantage  of  oil  related  opportunities  in  the  Middle  East.,I
KS1 219,"I'm  therefore  doubly  grateful  to  you  for  giving  me  the  chance  to  meet  you  today,  and  I  hope  that  some  of  the  contacts  I  might  make  today  will  stand  me  in  good  stead  in  the  job  that  I'm  doing  in  Oxford  over  the  next  year  or  so.",I
CCC 1239,Beattie's  outstanding  record  as  a  dedicated  social  worker  stood  him  in  good  stead  at  the  ‘ Diplock ’  tribunal  and  partly  explained  the  presence  of  a  total  of  twenty-four  persons  who  came  to  testify  on  his  behalf.,I
HTE 2617,For  students  and  staff  alike  these  exercises  in  ‘ doing ’  sociology  are  exciting  and  rewarding  (and  very  frequently  stand  students  in  good  stead  when  they  apply  for  jobs).,I
K98 231,experience  of  project  managing  the  construction  of  a  new  store  stood  him  in  good  stead  for  creating  a  corner  of  Cornwall  in  Stamford  Street  in  just  two  days.,I
CAG 1667,"Sartorial  details  aside,  such  efforts  stood  him  in  good  stead  with  Disney.",I
HCJ 280,Yet  I  found  that  the  breadth  of  my  Scottish  education  stood  me  in  good  stead  in  the  work  of  assessing  and  editing  material  from  the  whole  agenda  of  a  serious  newspaper.,I
CAE 2554,A  few  more  work  experience  spells  on   should  stand  you  in  jolly  good  stead  for  the  future.,I
A4J 45,Van  Der  Meulen's  austere  but  charming  character  was  to  stand  him  in  good  stead  with  the  Saudis.,I
CBU 1114,His  previous  experience  stood  him  in  good  stead.,I
CGL 1710,Experience  gained  from  previous  Merlin  stripdowns  within  FAPS  stood  the  pair  in  good  stead  on  this  one.,I
AC7 997,"After  tea  we  would  sometimes  walk  round  their  garden,  and  she  gave  me  tips  on  gardening  which  have  since  stood  me  in  good  stead;  and  cuttings,  which  still  bring  her  to  my  mind.",I
ATE 2125,"‘ Ay,  it's  where  an  ignorance  of  good  book-keeping  stands  you  in  good  stead . ’",I
H0C 539,"As  I  began  to  serve  more  regularly  I  became  more  accepted  amongst  the  older  stalwarts  of  the  service,  my  naval  experience  and  general  seamanship  picked  up  on  fishing  craft  and  yachts  standing  me  in  good  stead.",I
G3S 2509,It  is  not  the  only  time  my  profound  knowledge  of  football  has  stood  me  in  good  stead.,I
C98 180,"Tamar  found  the  side-saddle  strange  ,  but  her  previous  experience  stood  her  in  good  stead.",I
ANX 1561,"He  may  be  an  unlikely  civil  servant,  but  his  qualities  should  stand  him  in  good  stead  for  the  job  of  producing  a  national  strategy  for  the  NHS's  science.",I
K45 905,LOW  cloud  caused  problems  for  some  of  the  runners  in  the  11.5-mile  Carneddau  mountain  race  but  Kevin  Hagley's  navigational  skills  stood  him  in  good  stead.,I
HP4 852,This  invaluable  experience  and  can  only  stand  people  in  good  stead  for  when  they  return  to  the  UK . ’,I
HHX 4210,It  will  stand  him  in  good  stead  when  he  comes  to  argue  against  the  MacSharry  proposals.,I
BMM 294,"The  formal  methods  of  teaching,  the  accent  on  the  ‘ three  Rs ’,  had  stood  me  in  good  stead  and  in  those  aspects  of  school  work  I  was  ahead.",I
CDK 812,Here  are  some  further  areas  in  which  you  may  well  have  experience  and  that  would  stand  you  in  good  stead  with  a  prospective  employer.,I
A1W 36,"Despite  his  lack  of  political  experience,  Clouthier's  20-year  leadership  of  business  organisations  stood  him  in  good  stead.",I
A70 1387,"You  are  good  at  expressing  yourself,  which  stands  you  in  good  stead  if  you  want  to  ask  someone  to  do  you  a  favour.",I
CKR 39,"Lanfranc,  who  had  a  practical  mind,  had  foreseen  this  need  when  he  was  still  prior  of  Bec,  and  had  put  together  a  collection  of  Canon  Law,  which  stood  him  in  good  stead  as  archbishop.",I
EEB 343,If  you  develop  good  habits  they  will  stand  you  in  good  stead  in  your  business  and  managerial  career.,I
J56 221,"That,  mixed  with  the  mule's  contribution,  produced  an  atmosphere  in  the  cabin  that  stood  me  in  good  stead  for  the  rest  of  my  flying  career.",I
CGL 706,"too,  was  interested  in  attempting  the  flight,  perhaps  he  was  more  confident  than  anyone  else,  his  long  distance  flying  experience  would  certainly  stand  him  in  good  stead.",I
ASA 152,"Still,  I'd  always  tried  hard  to  be  a  good  golfer,  and  playing  off  three  handicap  I  knew  would  stand  me  in  good  stead.",I
EX5 1382,Learn  to  overcome  your  shyness:  it  will  stand  you  in  good  stead  for  the  rest  of  your  life.,I
BMR 1323,"Now  we  had  moved   bigger  and  better  things,  this  predictability  still  stood  us  in  good  stead.",I
E9V 374,"Edward  had  not  yet  covered  himself  with  military  glory,  but  he  had  revealed  a  sureness  of  political  judgement  which  was  to  stand  him  in  good  stead  in  the  greater  military  endeavours  that  he  embarked  upon  in  1337.",I
EBW 1673,"The  first  study  in  recent  years  of  this  important  Boston  painter  and  teacher  whose  Paris  training  stood  him  in  good  stead  in  introducing  into  America  a  fascinating  mixture  of  French  Academicism,  Barbizon  and  early  Impressionism.",I
GTG 495,"These  stood  her  in  good  stead  as  a  borough  councillor  and  labour  organizer,  but  proved  to  be  much  less  effective  in  national  politics.",I
CBF 9501,That  strategy  will  stand  Europe  in  good  stead  too.,I
A2R 68,‘ I  keep  telling  myself  that  it  will  stand  me  in  good  stead  when  I'm  about  40  and  doing  my  first  Isolde! ’,I
EEB 104,It  will  stand  you  in  good  stead  throughout  your  life  because  effective  note-taking  is  as  important  in  business  as  it  is  to  study.,I
HGG 718,"But  it's  well, ’  he  said  seriously,  ‘ that  you  should  have  a  token  about  you  that  will  get  you  in  to  me  or  the  prince  at  need,  and  stand  you  in  good  stead  if  ever  you  should  fall  foul  unawares  of  any  of  his  officers  or  mine.",I
KST 82,Well  apparently  she  said    stands  her  in  good  stead  because,I
AC2 1964,"I  suppose  that  simple  precept  from  that  old  foreman  stood  me  in  good  stead  for  thirty  odd  years,  until  now . ’",I
A90 544,On  the  home  front  his  business  experiences  should  stand  him  in  more  than  good  stead:  cobblers  is  the  stock-in-trade  of  most  cricket  committees.,I
K4W 2901,And  this  stood  him  in  good  stead  when  he  moved  to  the  Darlington  area.,I
BLW 249,"In  fact,  the  healthy  eating  rules  that  apply  to  everyone,  stand  us  in  good  stead  for  preventing  high  blood  pressure  and  heart  disease.",I
EX5 579,Because  the  subject  is  practically  useful  and  will  stand  you  in  good  stead  when  you  set  out  on  your  chosen  career.,I
BNT 399,"Neither  has  previously  managed  anything  very  much  before,  although  I'm  sure  their  vital  experience  as  successful  footballers  in  the  Seventies  (opening  boutiques)  will  stand  them  in  good  stead.",I
AR2 467,These  shoes  had  stood  him  in  good  stead.,I
K5J 572,"Kevin  Magee's  introduction  for  Julian  Broddle  after  the  break  produced  a  sense  of  urgency,  and  his  pace  and  confidence  could  stand  Thistle  in  good  stead.",I
B10 553,"Habits  of  good  manners,  honesty  and  consideration  for  others,  which  a  child  acquires  by  imitating  the  good  examples  set  by  his  parents,  will  stand  him  in  good  stead  all  his  life.",I
BPF 1125,"Steel  or  silver,  clean  cut  contemporary  or  simply  traditional,  a  good  set  of  cutlery  will  stand  you  in  good  stead  for  years  to  come.",I
G0T 1220,"If,  as  children,  we  were  given  healing  opportunities  to  grieve  for  a  range  of  losses,  whether  it  was  falling  and  losing  our  precariously-achieved  sense  of  balance,  the  death  of  a  cat,  the  breaking  of  a  doll  or  having  to  move  house,  we  will  have  learned  skills  which  will  stand  us  in  good  stead  later.",I
CP8 227,Indeed  the  business  was  said  to  have  made  ‘ the  very  best  of  progress ’  and  its  move  to  open    is  reckoned  to  stand  it  in  good  stead  for  the   .,I
AD0 249,Developing  such  skills  will  stand  you  in  good  stead  for  when  some  stressful  situation  occurs  to  which  you  would  normally  respond  by  eating  a  box  of  chocolates  or  downing  four  or  five  gin  and  tonics  or  glasses  of  beer.,I
EA0 1751,It  is  easy  to  overlook  the  range  of  transferable  skills  and  experiences  that  one  has  accumulated  in  the  course  of  a  career  and  will  now  stand  one  in  good  stead.,I
FU8 476,""" She  gave  up  on  me  a  long  time  ago,  but  she  made  sure  that  my  two  sons,  Charles  and  Joseph,  speak  the  language  of  her  forebears,  and  that  will  stand  us  in  good  stead  in  your  colony . """,I
HA0 2736,But  there's  no  doubt  this  activity  stood  Alec  in  good  stead  when  he  finally  came  across  the  truly  Unknown.,I
HHV 7964,"That  is  a  widening  of  personal  opportunity,  a  lifting  of  the  nation's  educational  attainments  and  a  sharpening  of  our  competitive  skills  which  will  stand  us  in  good  stead  for  the  future.",I
B1Y 805,"It  has  stood  her  in  good  stead,  for  she  has  had  to  deal  with  very  serious  health  problems  and  has  never  allowed  these  to  depress  or  hinder  her.",I
HGL 1974,"Behind  the  counter,  the  fat  Greek  chef  stands  in  good  stead,  his  apron  cheerfully  stained,  a  generous  plate  of  souvlaki  in  hand.",I
H7E 1823,It  stood  her  in  good  stead  when  it  came  to  the  areas  of  change  which  are  always  necessary  in  an  organisation  approaching  its  centenary.,I
H89 1583,"The  superior  numbers  of  the  Imperial  army  stood  them  in  good  stead:  within  a  few  minutes,  Dara's  forces  had  broken  through  the  rebels'  artillery  and  put  to  flight  the  infantry.",I
C8P 1999,"However,  it  is  one  that,  if  you  take  the  trouble  to  learn  properly,  will  stand  you  in  good  stead.",I
BMG 398,"From  the  point  of  view  of  certain  owners,  these  diet-shifts  are  nothing  but  a  nuisance,  but  if  ever,  for  some  dramatic  reason,  the  cat  found  itself  without  its  usual  owner,  they  would  stand  it  in  good  stead.",I
HHX 16131,They  have  stood  the  Royal  Navy  in  good  stead.,I
FR9 701,"it  stood  us  in  good  stead  for  Tuesday  night's  game  at  Scrimley  Arsenal,  where  we  came  away  with  a  very  creditable  2–4  defeat.",I
HJ9 836,"It  is  an  essential  part  of  the  DHE  course,  and  the  skills  learned  in  carrying  it  out  will  stand  all  students  in  good  stead  in  the  years  to  come.",I
GT8 455,"His  early  training  as  an  engineer  stood  him  in  good  stead,  and  he  not  only  devised  but  also  constructed  most  of  the  apparatus  that  he  used.",I
K5A 5036,‘ The  adrenalin  was  pumping  and  my  experience  should  have  stood  me  in  good  stead.,I
CEF 1845,"A  highly  specialised  knowledge  of  tax  law,  ,  may  stand  you  in  much  better  stead  than  an  MBA,  when  MBAs  are  becoming  increasingly  common.",I
CRR 22,"The  intent  of  the  politician  was   to  create  a  feeling  of  obligation,  which  he  undoubtedly  hoped  would  stand  him  in  good  stead  at  the  next  election,  but  such  feelings  were  all  the  stronger  because  the  shrewd  political  manager  never  breathed  a  word  about  a  bargain  or  the  anticipated  political  return.",I
H7B 295,It  is  much  more  geared  to  the  administration  of  personnel  records  than  was  the  bureau  system  but  the  experience  we  gained  using  the  bureau  has  stood  us  in  good  stead  for  our  own  system.,I
K1T 601,it's   disappointing  because  we  had  been  lying  insecond  place  and  that  would  have  stood  us  in  good  stead  for  the  rest  of  the  competition,I
HBJ 207,"Nevertheless,  we  can  look  back  on  the  year  with  pride  and  feel  confident  that  our  achievements  stand  us  in  good  stead  for  1992.",I
A7H 512,To  me  it  is  a  worthwhile  occupation  and  one  which  I  am  convinced  will  stand  me  in  good  stead  for  the  rest  of  my  life . ’,I
CJJ 715,"He  himself  spent  hours  in  the  chapel  reserved  for  cadets,  praying  to  the  image  of  Rogal  Dorn,  and  to  the  Emperor,  attempting  to  recapture  the  moment  when  he  had  ,  sure  that  this  would  stand  him  in  good  stead  in  battle.",I
CBC 4865,"DESPITE  all  the  planetary  ups  and  downs,  the  loyalty  of  friends  will  stand  you  in  good  stead.",I
BPK 1019,It  stood  them  in  good  stead  again  in  1976  when  drought  caused  many  villages  to  be  supplied  with  stand  pipes.,I
A9M 248,The  qualities  that  have  stood  it  in  such  good  stead  will  now  need  to  be  applied  in  a  different  context.,I
CS4 1016,"I  was  selling  houses  and  apartments  on  a  commission  basis,  and  I  think  that  my  English  accent  stood  me  in  good  stead.",I
GX9 957,"As  we  thawed  out  so  our  curling  improved,  which  stood  us  in  good  stead  when  the  tour  progressed  into  the  curling  hotbed  regions  of  Edmonton,  Weyburn,  Saskatoon  and  Calgary.",I
CHE 499,"Watching  Maureen  feed  very  small  birds  who  were  unable  to  do  it  for  themselves  was  to  stand  me  in  good  stead  later,  when  I  began  breeding  barn  owls.",I
EBP 1109,"Whatever  the  case,  the  alliance  which  they  had  made  with  the  family  of  L'Isle  jourdain  (closely  related  to  the  Duèse  clan),  stood  them  in  good  stead  with  the  Avignon  papacy  until  John  XXII's  death  in  1334.",I
